母牛個体識別番号,母牛オフィシャルID,種雄牛コード,個体識別番号,オフィシャルID,分娩日,子牛品種,出荷・廃用日,出荷・廃用種別,出荷・廃用理由,年月
1508441708,HOJPN001508441708,11H11100　エバグレード,1586948342,HOJPN001586948342,2019-06-18,ホル雌,2025-05-21,出荷,,2019-06-01
1508441234,HOJPN001508441234,H黒245　春瑞希,1586948359,,2019-06-19,F1,2019-07-01,出荷,,2019-06-01
1509143151,HOJPN001509143151,511H11298,1586948366,HOJPN001586948366,2019-06-20,ホル雌,2022-12-28,廃用,疾病,2019-06-01
1508441562,HOJPN001508441562,11H11272　ギルクレスト,1586948373,HOJPN001586948373,2019-06-24,ホル雄,2019-07-08,出荷,,2019-06-01
1347034659,HOJPN001347034659,11H11100　エバグレード,1586948380,HOJPN001586948380,2019-06-26,ホル雄,2019-07-08,出荷,,2019-06-01
1509143809,HOJPN001509143809,511H11298　サンフォード♀,1586948397,HOJPN001586948397,2019-06-28,ホル雌,,,,2019-06-01
1508440794,HOJPN001508440794,11H11228　スカイクレスト,1586948410,HOJPN001586948410,2019-06-30,ホル雄,2019-07-16,出荷,,2019-06-01
1508441135,HOJPN001508441135,29H17576 　　ドリームウィーバー,1586948403,HOJPN001586948403,2019-06-30,ホル雌,2023-02-16,出荷,,2019-06-01
1509143762,HOJPN001509143762,H黒245　春瑞希,1586948427,,2019-07-03,F1,2019-07-16,出荷,,2019-07-01
1455138041,HOJPN001455138041,H黒163　北百合忠,1599448440,,2019-07-04,F1,2019-07-16,出荷,,2019-07-01
1502143837,HOJPN001502143837,511H11100 　　エバグレード♀,1599448457,HOJPN001599448457,2019-07-04,ホル雌,2023-10-27,出荷,,2019-07-01
1393035099,HOJPN001393035099,,,,2019-07-08,その他,,,,2019-07-01
1508441685,HOJPN001508441685,629H16667　トップシー♀,1599448464,HOJPN001599448464,2019-07-08,ホル雌,2024-11-21,出荷,,2019-07-01
1355036614,HOJPN001355036614,11H11272　ギルクレスト,1599448501,HOJPN001599448501,2019-07-10,ホル雄,2019-07-22,出荷,,2019-07-01
1455137709,HOJPN001455137709,11H11228　スカイクレスト,1599448518,HOJPN001599448518,2019-07-10,ホル雌,,,,2019-07-01
1354238460,HOJPN001354238460,511H11298　サンフォード♀,1599448488,HOJPN001599448488,2019-07-10,ホル雌,2019-11-06,廃用,疾病,2019-07-01
1508440954,HOJPN001508440954,11H11272　ギルクレスト,1599448495,HOJPN001599448495,2019-07-10,ホル雌,2024-12-05,出荷,,2019-07-01
1502143868,HOJPN001502143868,ケイン　　511H11337,1599448525,HOJPN001599448525,2019-07-11,ホル雌,,,,2019-07-01
1508441814,HOJPN001508441814,11H11228　スカイクレスト,1599448532,HOJPN001599448532,2019-07-14,ホル雌,,,,2019-07-01
1509143724,HOJPN001509143724,511H11272 　　ギルクレスト♀,1599448549,HOJPN001599448549,2019-07-16,ホル雌,2024-01-05,出荷,,2019-07-01
1509143571,HOJPN001509143571,H黒245　春瑞希,1599448556,,2019-07-18,F1,2019-07-29,出荷,,2019-07-01
1502143875,HOJPN001502143875,ブラック　♀　629H17550,1599448563,HOJPN001599448563,2019-07-18,ホル雌,,,,2019-07-01
1508441654,HOJPN001508441654,11H11228　スカイクレスト,1599448570,HOJPN001599448570,2019-07-19,ホル雌,2024-10-30,出荷,,2019-07-01
1355035365,HOJPN001355035365,11H11272　ギルクレスト,1599448587,HOJPN001599448587,2019-07-21,ホル雌,2019-08-05,出荷,,2019-07-01
1355035365,HOJPN001355035365,11H11272　ギルクレスト,1599448594,HOJPN001599448594,2019-07-21,ホル雄,2019-08-05,出荷,,2019-07-01
1355035365,HOJPN001355035365,11H11272　ギルクレスト,1599448587,HOJPN001599448587,2019-07-21,ホル雌,2019-08-05,出荷,,2019-07-01
1355035365,HOJPN001355035365,11H11272　ギルクレスト,1599448594,HOJPN001599448594,2019-07-21,ホル雄,2019-08-05,出荷,,2019-07-01
1360432173,HOJPN001360432173,H黒163　北百合忠,1599448600,,2019-07-23,F1,2019-08-05,出荷,,2019-07-01
1509143618,HOJPN001509143618,H黒245　春瑞希,1599448617,,2019-07-23,F1,2019-08-05,出荷,,2019-07-01
1508339944,HOJPN001508339944,H黒245　春瑞希,1599448631,,2019-07-24,F1,2019-08-05,出荷,,2019-07-01
1502143981,HOJPN001502143981,ブラック　♀　629H17550,1599448624,HOJPN001599448624,2019-07-24,ホル雄,2019-08-05,出荷,,2019-07-01
1354239368,HOJPN001354239368,11H11100　エバグレード,1599448648,HOJPN001599448648,2019-07-27,ホル雌,2019-10-29,廃用,疾病,2019-07-01
1508440596,HOJPN001508440596,29H17576 　　ドリームウィーバー,1599448655,HOJPN001599448655,2019-07-27,ホル雄,2019-08-19,出荷,,2019-07-01
1354239108,HOJPN001354239108,29H17576 　　ドリームウィーバー,1599448662,HOJPN001599448662,2019-07-28,ホル雌,,,,2019-07-01
1556344174,HOJPN001556344174,ブラック　♀　629H17550,1599448679,HOJPN001599448679,2019-07-29,ホル雄,2019-08-19,出荷,,2019-07-01
1347034666,HOJPN001347034666,11H11100　エバグレード,1599448693,HOJPN001599448693,2019-07-31,ホル雌,,,,2019-07-01
1509143670,HOJPN001509143670,H黒245　春瑞希,1599448686,,2019-07-31,F1,2019-08-19,出荷,,2019-07-01
1354238644,HOJPN001354238644,29H17576 　　ドリームウィーバー,1599448709,,2019-08-03,F1,2022-05-26,出荷,,2019-08-01
1508440732,HOJPN001508440732,H黒163　北百合忠,1599448716,,2019-08-04,F1,2019-08-19,出荷,,2019-08-01
1455137518,HOJPN001455137518,H黒163　北百合忠,1599448723,,2019-08-06,F1,2019-08-19,出荷,,2019-08-01
1509143694,HOJPN001509143694,H黒245　春瑞希,1599448730,,2019-08-08,F1,2019-08-19,出荷,,2019-08-01
1556344136,HOJPN001556344136,H黒245　春瑞希,1599448747,,2019-08-12,F1,2019-08-26,出荷,,2019-08-01
1509143816,HOJPN001509143816,H黒245　春瑞希,1599448754,,2019-08-13,F1,2019-08-26,出荷,,2019-08-01
1381533521,HOJPN001381533521,11H11272　ギルクレスト,1599448761,HOJPN001599448761,2019-08-14,ホル雌,2023-10-24,出荷,,2019-08-01
1478341923,HOJPN001478341923,ケイン　　511H11337,1599448778,HOJPN001599448778,2019-08-15,ホル雌,2025-03-01,出荷,,2019-08-01
1556344266,HOJPN001556344266,ブラック　♀　629H17550,1599448785,HOJPN001599448785,2019-08-17,ホル雌,2025-02-10,出荷,,2019-08-01
1347034055,HOJPN001347034055,11H11272　ギルクレスト,1599448815,HOJPN001599448815,2019-08-20,ホル雌,,,,2019-08-01
1508441401,HOJPN001508441401,11H11337　　ケイン,1599448792,HOJPN001599448792,2019-08-20,ホル雄,2019-09-02,出荷,,2019-08-01
1508441401,HOJPN001508441401,11H11337　　ケイン,1599448808,HOJPN001599448808,2019-08-20,ホル雌,2019-09-02,出荷,,2019-08-01
1508441401,HOJPN001508441401,11H11337　　ケイン,1599448792,HOJPN001599448792,2019-08-20,ホル雄,2019-09-02,出荷,,2019-08-01
1508441401,HOJPN001508441401,11H11337　　ケイン,1599448808,HOJPN001599448808,2019-08-20,ホル雌,2019-09-02,出荷,,2019-08-01
1508340001,HOJPN001508340001,ブラック　♀　629H17550,1599448822,HOJPN001599448822,2019-08-21,ホル雌,2024-07-16,出荷,,2019-08-01
1502143820,HOJPN001502143820,H黒245　春瑞希,1599448839,,2019-08-22,F1,2019-09-02,出荷,,2019-08-01
1508441173,HOJPN001508441173,29H16667　トップシー,1599448846,HOJPN001599448846,2019-08-24,ホル雄,2019-09-09,出荷,,2019-08-01
1508440121,HOJPN001508440121,H黒245　春瑞希,1599448853,,2019-08-25,F1,2019-09-09,出荷,,2019-08-01
1455137464,HOJPN001455137464,29H17576 　　ドリームウィーバー,1599448877,HOJPN001599448877,2019-08-27,ホル雌,2025-05-19,出荷,,2019-08-01
1354238552,HOJPN001354238552,ブラック　29H17550,1599448860,HOJPN001599448860,2019-08-27,ホル雄,2019-09-09,出荷,,2019-08-01
1455137167,HOJPN001455137167,29H17576 　　ドリームウィーバー,1599448884,HOJPN001599448884,2019-08-28,ホル雄,2019-09-09,出荷,,2019-08-01
1355036003,HOJPN001355036003,H黒245　春瑞希,1599448891,,2019-09-06,F1,2019-09-17,出荷,,2019-09-01
1509143335,HOJPN001509143335,H黒245　春瑞希,1599448907,,2019-09-06,F1,2019-09-17,出荷,,2019-09-01
1509143564,HOJPN001509143564,629H16667　トップシー♀,1599448914,HOJPN001599448914,2019-09-07,ホル雄,2019-09-24,出荷,,2019-09-01
1508339814,HOJPN001508339814,ブラック　29H17550,1599448921,HOJPN001599448921,2019-09-09,ホル雄,2019-09-24,出荷,,2019-09-01
1502143950,HOJPN001502143950,H黒245　春瑞希,1599448938,,2019-09-09,F1,2019-09-24,出荷,,2019-09-01
1556344433,HOJPN001556344433,529H17576　♀　 ドリームウイーバー,1599448945,HOJPN001599448945,2019-09-10,ホル雌,2024-07-16,出荷,,2019-09-01
1508441395,HOJPN001508441395,11H11337　　ケイン,1599448952,HOJPN001599448952,2019-09-12,ホル雌,2025-08-01,廃用,疾病,2019-09-01
1556344235,HOJPN001556344235,ブラック　♀　629H17550,1599448969,HOJPN001599448969,2019-09-12,ホル雄,2019-09-24,出荷,,2019-09-01
1509142017,HOJPN001509142017,ケイン　　511H11337,1599448976,HOJPN001599448976,2019-09-14,ホル雌,2024-07-16,出荷,,2019-09-01
1455137280,HOJPN001455137280,ブラック　29H17550,1599448983,HOJPN001599448983,2019-09-15,ホル雌,,,,2019-09-01
1556344310,HOJPN001556344310,H黒245　春瑞希,1599448990,,2019-09-16,F1,2019-09-30,出荷,,2019-09-01
1556344280,HOJPN001556344280,H黒245　春瑞希,1599449003,,2019-09-17,F1,2019-09-30,出荷,,2019-09-01
1354238774,HOJPN001354238774,ブラック　29H17550,1601449014,HOJPN001601449014,2019-09-20,ホル雄,2019-10-07,出荷,,2019-09-01
1509142321,HOJPN001509142321,11H11337　　ケイン,1601449021,HOJPN001601449021,2019-09-21,ホル雌,2024-02-07,出荷,,2019-09-01
1508441319,HOJPN001508441319,ブラック　29H17550,1601449038,HOJPN001601449038,2019-09-24,ホル雌,2024-03-07,出荷,,2019-09-01
1354238729,HOJPN001354238729,11H11337　　ケイン,1601449045,HOJPN001601449045,2019-09-25,ホル雄,2019-10-14,出荷,,2019-09-01
1508440756,HOJPN001508440756,ブラック　29H17550,1601449052,HOJPN001601449052,2019-09-25,ホル雄,2019-10-07,出荷,,2019-09-01
1455137716,HOJPN001455137716,511H11272 　　ギルクレスト♀,1601449069,HOJPN001601449069,2019-09-27,ホル雌,2024-12-24,出荷,,2019-09-01
1508441210,HOJPN001508441210,629H17576　ドリームウィーバ　♀,1601449076,HOJPN001601449076,2019-10-02,ホル雄,2019-10-15,出荷,,2019-10-01
1478342005,HOJPN001478342005,11H11272　ギルクレスト,1601449083,HOJPN001601449083,2019-10-04,ホル雌,2021-11-16,廃用,肺炎,2019-10-01
1508441791,HOJPN001508441791,ブラック　29H17550,1601449090,HOJPN001601449090,2019-10-05,ホル雌,,,,2019-10-01
1509142468,HOJPN001509142468,11H11337　　ケイン,1601449113,HOJPN001601449113,2019-10-11,ホル雌,2023-11-14,出荷,,2019-10-01
1354238590,HOJPN001354238590,29H16017 　　マウイ,1601449137,HOJPN001601449137,2019-10-12,ホル雄,2019-10-28,出荷,,2019-10-01
1508441739,HOJPN001508441739,29H17576 　　ドリームウィーバー,1601449144,HOJPN001601449144,2019-10-12,ホル雄,2019-10-21,出荷,,2019-10-01
1508441739,HOJPN001508441739,29H17576 　　ドリームウィーバー,1601449151,HOJPN001601449151,2019-10-12,ホル雄,2019-10-28,出荷,,2019-10-01
1508441739,HOJPN001508441739,29H17576 　　ドリームウィーバー,1601449144,HOJPN001601449144,2019-10-12,ホル雄,2019-10-21,出荷,,2019-10-01
1508441739,HOJPN001508441739,29H17576 　　ドリームウィーバー,1601449151,HOJPN001601449151,2019-10-12,ホル雄,2019-10-28,出荷,,2019-10-01
1508441012,HOJPN001508441012,H黒245　春瑞希,1601449182,,2019-10-14,F1,2019-10-28,出荷,,2019-10-01
1508441869,HOJPN001508441869,ケイン　　511H11337,1601449175,HOJPN001601449175,2019-10-14,ホル雌,2022-12-13,出荷,疾病,2019-10-01
1509142390,HOJPN001509142390,11H11337　　ケイン,1601449168,HOJPN001601449168,2019-10-14,ホル雄,2019-10-28,出荷,,2019-10-01
1455137365,HOJPN001455137365,H黒245　春瑞希,1601449199,,2019-10-17,F1,2019-10-28,出荷,,2019-10-01
1509142192,HOJPN001509142192,629H16667　トップシー♀,1601449205,HOJPN001601449205,2019-10-20,ホル雌,,,,2019-10-01
1508440145,HOJPN001508440145,11H11337　　ケイン,1601449212,HOJPN001601449212,2019-11-01,ホル雄,2019-11-18,出荷,,2019-11-01
1509142420,HOJPN001509142420,ブラック　29H17550,1601449236,HOJPN001601449236,2019-11-04,ホル雄,2019-11-18,出荷,,2019-11-01
1354239122,HOJPN001354239122,ブラック　29H17550,1601449250,HOJPN001601449250,2019-11-06,ホル雄,2019-11-18,出荷,,2019-11-01
1509142277,HOJPN001509142277,ブラック　29H17550,1601449267,HOJPN001601449267,2019-11-07,ホル雌,2019-11-18,出荷,,2019-11-01
1509142277,HOJPN001509142277,ブラック　29H17550,1601449274,HOJPN001601449274,2019-11-07,ホル雄,2019-11-18,出荷,,2019-11-01
1509142277,HOJPN001509142277,ブラック　29H17550,1601449267,HOJPN001601449267,2019-11-07,ホル雌,2019-11-18,出荷,,2019-11-01
1509142277,HOJPN001509142277,ブラック　29H17550,1601449274,HOJPN001601449274,2019-11-07,ホル雄,2019-11-18,出荷,,2019-11-01
1455137150,HOJPN001455137150,29H17576 　　ドリームウィーバー,1601449281,HOJPN001601449281,2019-11-09,ホル雄,2019-11-25,出荷,,2019-11-01
1508441593,HOJPN001508441593,11H11337　　ケイン,1601449298,HOJPN001601449298,2019-11-09,ホル雄,2019-11-25,出荷,,2019-11-01
1508441821,HOJPN001508441821,11H11337　　ケイン,1601449328,HOJPN001601449328,2019-11-10,ホル雌,2023-08-31,出荷,,2019-11-01
1478341985,HOJPN001478341985,11H11337　　ケイン,1601449304,HOJPN001601449304,2019-11-10,ホル雄,2019-11-25,出荷,,2019-11-01
1478341985,HOJPN001478341985,11H11337　　ケイン,1601449311,HOJPN001601449311,2019-11-10,ホル雌,2019-11-25,出荷,,2019-11-01
1478341985,HOJPN001478341985,11H11337　　ケイン,1601449304,HOJPN001601449304,2019-11-10,ホル雄,2019-11-25,出荷,,2019-11-01
1478341985,HOJPN001478341985,11H11337　　ケイン,1601449311,HOJPN001601449311,2019-11-10,ホル雌,2019-11-25,出荷,,2019-11-01
1381533743,HOJPN001381533743,29H17576 　　ドリームウィーバー,1601449335,HOJPN001601449335,2019-11-11,ホル雄,2019-11-25,出荷,,2019-11-01
1508441449,HOJPN001508441449,ブラック　29H17550,1601449342,HOJPN001601449342,2019-11-13,ホル雌,2023-01-30,出荷,,2019-11-01
1508339722,HOJPN001508339722,11H11272　ギルクレスト,1601449359,HOJPN001601449359,2019-11-16,ホル雌,2023-03-30,出荷,,2019-11-01
1478341954,HOJPN001478341954,11H11337　　ケイン,1601449366,HOJPN001601449366,2019-11-16,ホル雄,2019-12-02,出荷,,2019-11-01
1508339654,HOJPN001508339654,11H11337　　ケイン,1601449380,HOJPN001601449380,2019-11-17,ホル雌,,,,2019-11-01
1509142291,HOJPN001509142291,ブラック　♀　629H17550,1601449403,HOJPN001601449403,2019-11-20,ホル雌,2023-10-24,出荷,,2019-11-01
1556344525,HOJPN001556344525,629H17576　ドリームウィーバ　♀,1601449397,HOJPN001601449397,2019-11-20,ホル雄,2019-12-02,出荷,,2019-11-01
1556344358,HOJPN001556344358,H黒245　春瑞希,1601449410,,2019-11-22,F1,2019-12-02,出荷,,2019-11-01
1556344303,HOJPN001556344303,H黒245　春瑞希,1601449434,,2019-11-24,F1,2019-12-02,出荷,,2019-11-01
1509142369,HOJPN001509142369,11H11272　ギルクレスト,1601449441,HOJPN001601449441,2019-11-27,ホル雌,2023-06-23,出荷,,2019-11-01
1509142185,HOJPN001509142185,11H11337　　ケイン,1601449458,HOJPN001601449458,2019-11-28,ホル雄,2019-12-09,出荷,,2019-11-01
1347034888,HOJPN001347034888,H黒163　北百合忠,1601449465,,2019-11-30,F1,2019-12-16,出荷,,2019-11-01
1556344624,HOJPN001556344624,ケイン　　511H11337,1601449472,HOJPN001601449472,2019-12-02,ホル雌,,,,2019-12-01
1354238781,HOJPN001354238781,ブラック　29H17550,1601449489,HOJPN001601449489,2019-12-03,ホル雄,2019-12-16,出荷,,2019-12-01
1556344600,HOJPN001556344600,ブラック　♀　629H17550,1601449496,HOJPN001601449496,2019-12-04,ホル雌,2024-10-30,廃用,その他,2019-12-01
1455137235,HOJPN001455137235,29H16667　トップシー,1601449519,HOJPN001601449519,2019-12-05,ホル雄,2019-12-16,出荷,,2019-12-01
1455138218,HOJPN001455138218,29H16667　トップシー,1601449502,HOJPN001601449502,2019-12-05,ホル雄,2019-12-16,出荷,,2019-12-01
1556344785,HOJPN001556344785,511H11272 　　ギルクレスト♀,1601449526,HOJPN001601449526,2019-12-05,ホル雌,2024-03-06,出荷,,2019-12-01
1556344655,HOJPN001556344655,H黒245　春瑞希,1601449540,,2019-12-08,F1,2019-12-23,出荷,,2019-12-01
1556344808,HOJPN001556344808,629H17576　ドリームウィーバ　♀,1601449557,HOJPN001601449557,2019-12-09,ホル雌,2024-10-04,出荷,,2019-12-01
1556344570,HOJPN001556344570,H黒245　春瑞希,1601449564,,2019-12-12,F1,2020-01-07,出荷,,2019-12-01
1455137099,HOJPN001455137099,H黒245　春瑞希,1601449571,,2019-12-15,F1,2020-01-07,出荷,,2019-12-01
1354239344,HOJPN001354239344,H黒245　春瑞希,1601449588,,2019-12-17,F1,2020-01-07,出荷,,2019-12-01
1347034512,HOJPN001347034512,29H16017 　　マウイ,1601449595,HOJPN001601449595,2019-12-19,ホル雌,2020-07-05,廃用,ガス,2019-12-01
1508440725,HOJPN001508440725,29H16667　トップシー,1601449601,HOJPN001601449601,2019-12-23,ホル雌,,,,2019-12-01
1478341978,HOJPN001478341978,ブラック　29H17550,1601449618,HOJPN001601449618,2019-12-24,ホル雌,2024-07-16,出荷,,2019-12-01
1509142550,HOJPN001509142550,ケイン　　511H11337,1601449625,HOJPN001601449625,2019-12-25,ホル雌,2024-03-27,出荷,,2019-12-01
1556344396,HOJPN001556344396,H黒245　春瑞希,1601449632,,2019-12-25,F1,2020-01-06,出荷,,2019-12-01
1556344945,HOJPN001556344945,ブラック　♀　629H17550,1601449649,HOJPN001601449649,2019-12-26,ホル雌,2025-01-28,廃用,疾病,2019-12-01
1556344778,HOJPN001556344778,ケイン　　511H11337,1601449670,HOJPN001601449670,2019-12-31,ホル雌,2025-01-06,出荷,,2019-12-01
1508440558,HOJPN001508440558,11H11337　　ケイン,1601449687,HOJPN001601449687,2020-01-02,ホル雌,2024-07-23,出荷,,2020-01-01
1508339920,HOJPN001508339920,11H11272　ギルクレスト,1601449694,HOJPN001601449694,2020-01-08,ホル雌,,,,2020-01-01
1556344938,HOJPN001556344938,ブラック　♀　629H17550,1601449717,HOJPN001601449717,2020-01-09,ホル雌,2025-07-30,出荷,,2020-01-01
1556344952,HOJPN001556344952,H黒245　春瑞希,1601449700,,2020-01-09,F1,2020-01-27,出荷,,2020-01-01
1508440206,HOJPN001508440206,ブラック　29H17550,1601449724,HOJPN001601449724,2020-01-10,ホル雄,2020-01-27,出荷,,2020-01-01
1556344907,HOJPN001556344907,H黒245　春瑞希,1601449731,,2020-01-10,F1,2020-01-27,出荷,,2020-01-01
1354238941,HOJPN001354238941,629H17576　ドリームウィーバ　♀,1601449748,HOJPN001601449748,2020-01-12,ホル雌,2023-05-12,出荷,,2020-01-01
1509142109,HOJPN001509142109,ブラック　29H17550,1601449755,HOJPN001601449755,2020-01-15,ホル雌,,,,2020-01-01
1556344884,HOJPN001556344884,H黒245　春瑞希,1601449762,,2020-01-16,F1,2020-01-27,出荷,,2020-01-01
1556344846,HOJPN001556344846,511H11272 　　ギルクレスト♀,1601449779,HOJPN001601449779,2020-01-17,ホル雌,2023-08-24,出荷,,2020-01-01
1360432296,HOJPN001360432296,511H11100 　　エバグレード♀,1601449786,HOJPN001601449786,2020-01-20,ホル雌,,,,2020-01-01
1556345065,HOJPN001556345065,美津重茂　Ｐ983,1601449793,,2020-01-20,F1,2020-02-03,出荷,,2020-01-01
1509142345,HOJPN001509142345,11H11337　　ケイン,1601449809,HOJPN001601449809,2020-01-21,ホル雌,,,,2020-01-01
1509142345,HOJPN001509142345,11H11337　　ケイン,1601449816,HOJPN001601449816,2020-01-21,ホル雌,2024-04-22,出荷,,2020-01-01
1509142345,HOJPN001509142345,11H11337　　ケイン,1601449809,HOJPN001601449809,2020-01-21,ホル雌,,,,2020-01-01
1509142345,HOJPN001509142345,11H11337　　ケイン,1601449816,HOJPN001601449816,2020-01-21,ホル雌,2024-04-22,出荷,,2020-01-01
1556344853,HOJPN001556344853,511H11272 　　ギルクレスト♀,1601449823,HOJPN001601449823,2020-01-22,ホル雄,2020-02-03,出荷,,2020-01-01
1556345089,HOJPN001556345089,ブラック　♀　629H17550,1601449847,HOJPN001601449847,2020-01-24,ホル雌,2023-11-08,出荷,,2020-01-01
1354239566,HOJPN001354239566,29H17576 　　ドリームウィーバー,1601449854,HOJPN001601449854,2020-01-25,ホル雌,2023-05-15,出荷,,2020-01-01
1556345140,HOJPN001556345140,511H11272 　　ギルクレスト♀,1601449861,HOJPN001601449861,2020-01-25,ホル雌,,,,2020-01-01
1556344815,HOJPN001556344815,ケイン　　511H11337,1601449878,HOJPN001601449878,2020-01-26,ホル雌,2025-02-10,出荷,,2020-01-01
1556344891,HOJPN001556344891,美津重茂　Ｐ983,1601449885,,2020-01-27,F1,2020-02-10,出荷,,2020-01-01
1556345072,HOJPN001556345072,ブラック　♀　629H17550,1601449892,HOJPN001601449892,2020-01-28,ホル雌,2024-04-08,出荷,,2020-01-01
1556345126,HOJPN001556345126,美津重茂　Ｐ983,1601449915,,2020-01-31,F1,2020-02-10,出荷,,2020-01-01
1509143007,HOJPN001509143007,ブラック　29H17550,1601449922,HOJPN001601449922,2020-02-02,ホル雌,2024-12-05,出荷,,2020-02-01
1509142819,HOJPN001509142819,11H11337　　ケイン,1601449939,HOJPN001601449939,2020-02-04,ホル雌,2022-03-25,出荷,,2020-02-01
1508440381,HOJPN001508440381,H黒163　北百合忠,1601449953,,2020-02-06,F1,2020-02-17,出荷,,2020-02-01
1556344990,HOJPN001556344990,629H17576　ドリームウィーバ　♀,1601449946,HOJPN001601449946,2020-02-06,ホル雌,,,,2020-02-01
1556345294,HOJPN001556345294,美津重茂　Ｐ983,1601449960,,2020-02-07,F1,2020-02-17,出荷,,2020-02-01
1556344662,HOJPN001556344662,美津重茂　Ｐ983,1601449977,,2020-02-10,F1,2020-02-25,出荷,,2020-02-01
1556345041,HOJPN001556345041,美津重茂　Ｐ983,1601449991,,2020-02-12,F1,2020-02-25,出荷,,2020-02-01
1556345201,HOJPN001556345201,美津重茂　Ｐ983,1601450003,,2020-02-14,F1,2020-02-25,出荷,,2020-02-01
1508441852,HOJPN001508441852,11H11337　　ケイン,1601450010,HOJPN001601450010,2020-02-14,ホル雌,,,,2020-02-01
1455138232,HOJPN001455138232,ケイン　　511H11337,1614250034,HOJPN001614250034,2020-02-19,ホル雌,2025-07-30,出荷,,2020-02-01
1509142543,HOJPN001509142543,11H11337　　ケイン,1614250027,HOJPN001614250027,2020-02-19,ホル雌,2024-04-22,出荷,,2020-02-01
1509142888,HOJPN001509142888,ブラック　29H17550,1614250041,HOJPN001614250041,2020-02-20,ホル雌,2022-04-12,出荷,,2020-02-01
1556344259,HOJPN001556344259,,1614250058,,2020-02-20,和牛,2020-02-29,出荷,,2020-02-01
1509142581,HOJPN001509142581,ブラック　29H17550,1614250065,HOJPN001614250065,2020-02-21,ホル雄,2020-03-09,出荷,,2020-02-01
1455137914,HOJPN001455137914,ブラック　29H17550,1614250096,HOJPN001614250096,2020-02-23,ホル雄,2020-03-09,出荷,,2020-02-01
1509142734,HOJPN001509142734,529Ｈ16017♀　マウイ,1614250072,HOJPN001614250072,2020-02-23,ホル雌,2022-09-02,出荷,,2020-02-01
1509143106,HOJPN001509143106,ブラック　29H17550,1614250089,HOJPN001614250089,2020-02-23,ホル雌,2022-02-02,廃用,その他,2020-02-01
1556345331,HOJPN001556345331,ブラック　♀　629H17550,1614250119,HOJPN001614250119,2020-02-26,ホル雄,2020-03-09,出荷,,2020-02-01
1556345119,HOJPN001556345119,Ｉ黒－169　　　　安久勝晃,1614250126,,2020-02-26,F1,2020-03-09,出荷,,2020-02-01
1355035730,HOJPN001355035730,11H11272　ギルクレスト,1614250140,HOJPN001614250140,2020-02-27,ホル雌,2024-10-30,出荷,,2020-02-01
1509142963,HOJPN001509142963,ブラック　29H17550,1614250133,HOJPN001614250133,2020-02-27,ホル雌,,,,2020-02-01
1556345454,HOJPN001556345454,美津重茂　Ｐ983,1614250157,,2020-03-03,F1,2020-03-16,出荷,,2020-03-01
1556345300,HOJPN001556345300,ブラック　♀　629H17550,1614250164,HOJPN001614250164,2020-03-09,ホル雌,2022-06-10,出荷,,2020-03-01
1556345492,HOJPN001556345492,ブラック　♀　629H17550,1614250171,HOJPN001614250171,2020-03-10,ホル雌,2024-09-20,出荷,,2020-03-01
1509142635,HOJPN001509142635,629H16667　トップシー♀,1614250188,HOJPN001614250188,2020-03-11,ホル雌,,,,2020-03-01
1556345195,HOJPN001556345195,ケイン　　511H11337,1614250201,HOJPN001614250201,2020-03-14,ホル雌,2025-03-01,出荷,,2020-03-01
1556345447,HOJPN001556345447,I黒－166　　菊勝久,1614250218,,2020-03-14,F1,2020-04-06,出荷,,2020-03-01
1509142895,HOJPN001509142895,ブラック　29H17550,1614250225,HOJPN001614250225,2020-03-18,ホル雄,2020-03-30,出荷,,2020-03-01
1355036607,HOJPN001355036607,ブラック　29H17550,1614250232,HOJPN001614250232,2020-03-19,ホル雌,2023-07-13,出荷,,2020-03-01
1556345324,HOJPN001556345324,Ｉ黒－169　　　　安久勝晃,1614250249,,2020-03-22,F1,2020-04-27,出荷,,2020-03-01
1556345270,HOJPN001556345270,I黒－166　　菊勝久,1614250256,,2020-03-23,F1,2020-04-27,出荷,,2020-03-01
1556345522,HOJPN001556345522,Ｉ黒－169　　　　安久勝晃,1614250287,,2020-03-23,F1,2020-04-06,出荷,,2020-03-01
1565645590,HOJPN001565645590,ブラック　♀　629H17550,1614250270,HOJPN001614250270,2020-03-23,ホル雌,2024-12-05,出荷,,2020-03-01
1565645545,HOJPN001565645545,511H11272 　　ギルクレスト♀,1614250263,HOJPN001614250263,2020-03-23,ホル雌,,,,2020-03-01
1556345317,HOJPN001556345317,美津重茂　Ｐ983,1614250294,,2020-03-26,F1,2020-04-27,出荷,,2020-03-01
1556345355,HOJPN001556345355,ケイン　　511H11337,1614250300,HOJPN001614250300,2020-03-27,ホル雌,,,,2020-03-01
1509142970,HOJPN001509142970,11H11337　　ケイン,1614250317,HOJPN001614250317,2020-03-30,ホル雌,,,,2020-03-01
1556345478,HOJPN001556345478,I黒－166　　菊勝久,1614250324,,2020-04-02,F1,2020-04-27,出荷,,2020-04-01
1556344914,HOJPN001556344914,Ｉ黒－169　　　　安久勝晃,1614250331,,2020-04-03,F1,2020-04-27,出荷,,2020-04-01
1556345461,HOJPN001556345461,,,,2020-04-04,その他,,,,2020-04-01
1556345409,HOJPN001556345409,I黒－166　　菊勝久,1614250362,,2020-04-11,F1,2020-04-27,出荷,,2020-04-01
